# JMA Ground Weather Observation Stations
Kname,station_id,name_jp,latitude,longitude,altitude,barometer_height,anemometer_height
Abashiri,409,網走,44.01,144.17,37.6,42.8,15.6
Aburatsu,835,油津,31.343,131.2436,2.9,14.6,19.0
Aikawa,602,相川,38.013,138.143,5.5,16.7,33.6
Ajiro,668,網代,35.0236,139.0542,66.9,67.9,12.5
Akita,582,秋田,39.4254,140.0612,6.3,21.1,40.0
Akune,823,阿久根,32.013,130.1212,40.1,45.2,13.4
Aomori,575,青森,40.4906,140.4618,2.8,3.4,30.4
Asahikawa,407,旭川,43.4612,142.2224,111.9,115.9,14.6
Chiba,682,千葉,35.3554,140.0624,3.5,19.2,47.8
Chichibu,641,秩父,35.5924,139.0442,218.0,219.4,12.6
Chichijima,971,父島,27.05,142.11,2.7,7.7,15.9
Choshi,648,銚子,35.4412,140.5136,20.1,27.6,28.2
Esashi,428,江差,41.5154,140.0742,3.7,11.6,19.5
Fukaura,574,深浦,40.3836,139.5612,66.1,67.2,13.4
Fukue,843,福江,32.4136,128.493,25.1,26.2,10.3
Fukui,616,福井,36.0312,136.1336,8.8,16.8,26.1
Fukuoka,807,福岡,33.3448,130.2236,2.5,14.5,24.5
Fukushima,595,福島,37.4524,140.283,67.4,68.7,26.0
Fukuyama,767,福山,34.2636,133.15,1.9,2.8,13.8
Fushiki,606,伏木,36.4718,137.0324,11.6,12.6,15.2
Gifu,632,岐阜,35.2348,136.4554,12.7,16.7,22.8
Haboro,404,羽幌,44.2142,141.4218,7.9,12.5,13.5
Hachijojima,678,八丈島,33.0606,139.4718,79.2,80.3,13.6
Hachinohe,581,八戸,40.313,141.313,27.1,27.9,16.1
Hagi,754,萩,34.2442,131.2336,5.5,7.0,18.1
Hakodate,430,函館,41.4848,140.4524,35.0,43.4,25.6
Hamada,755,浜田,34.5336,132.0424,19.0,20.1,15.2
Hamamatsu,654,浜松,34.4224,137.4324,31.7,33.1,13.8
Hikone,761,彦根,35.1624,136.1448,87.3,88.5,17.5
Himeji,769,姫路,34.5012,134.403,38.2,39.7,28.1
Hirado,805,平戸,33.2124,129.3312,57.8,58.2,11.0
Hiroo,440,広尾,42.173,143.1912,32.4,33.3,12.9
Hiroshima,765,広島,34.2342,132.2754,3.6,53.4,95.5
Hita,814,日田,33.1906,130.5554,82.9,84.2,10.6
Hitoyoshi,824,人吉,32.1254,130.4524,145.8,147.3,12.1
Iida,637,飯田,35.303,137.5018,482.3,484.4,12.7
Iiduka,809,飯塚,33.39,130.4142,37.1,38.3,11.1
Irago,653,伊良湖,34.373,137.0548,6.2,7.5,13.1
